Asana,Benefits
Padotthanasana,"This asana strengthens
the abdominal muscles and massages the organs. It strengthens the digestive system, lower back, pelvic and perineal muscles and helps correct prolapse."
Parvatasana,"This pose strengthens the nerves and muscles in the limbs and back. It helps to increase height by stretching muscles and ligaments, enabling growing bones to grow longer. Circulation is stimulated, especially in the upper spine between the shoulder blades."
Ardha titali asana,"This is an excellent 
preparatory practice for loosening up the knee and hip joints for meditative poses. Those people who cannot sit comfortably in cross-legged positions should practise ardha titali asana daily, both morning and evening."
"Gatyatmak meru 
vakrasana","This asana removes stiffness 
of the back and increases flexibility of the spine."
Sideways viewing,"Sideways viewing relaxes the 
tension of the muscles strained by constant reading and close work. It also prevents and corrects squint."
Makarasana,"This asana is very effective 
for people suffering from slipped disc, sciatica, and certain types of lower back pain. They should remain in this asana for extended periods of time as it encourages the vertebral column to resume its normal shape and releases compression of the spinal nerves. Asthmatics and people who have any other lung ailments should practise this simple asana regularly with breath awareness as it allows more air to enter the lungs."
Padmasana,"Padmasana allows the body to be held 
completely steady for long periods of time. It holds the trunk and head like a pillar with the legs as the firm foundation. As the body is steadied, the mind becomes calm. This steadiness and calmness is the first step towards real meditation. Padmasana directs the flow of prana from mooladhara chakra in the perineum tosahasrara chakra in the head, heightening the experience of meditation. This posture applies pressure to the lower spine, which has a relaxing effect on the nervous system. The breath becomes slow, muscular tension is decreased and blood pressure is reduced. The normally large blood flow to the legs is redirected to the abdominal region. This activity also stimulates the digestive process."
Vajrasana,"Vajrasana alters the flow of blood and 
nervous impulses in the pelvic region and strengthens the pelvic muscles. It is a preventative measure against hernia and also helps to relieve piles. It reduces the blood flow to the genitals and massages the nerve fibres which feed them, making it useful in dilated veins of the testicles and hydrocele in men. It alleviates menstrual disorders. It increases the efficiency of the entire digestive system, relieving stomach ailments such as hyperacidity and peptic ulcer. Vajrasana is a very important meditation posture because the body becomes upright and straight with no effort. It is the best meditation asana for people suffering from sciatica. It stimulates the vajra nadi, activates prana in sushumna and redirects sexual energy for spiritual purposes."
"Ardha 
chandrasana","Inhale deeply while raising the arms, arching the back and bending the head back. Retain the breath inside while holding the posture for a few seconds. Start exhalation while lowering the arms."
Yogamudrasana,"This is an excellent asana for massaging the abdominal organs, removing constipation and indigestion. It stretches the back, freeing the
spinal nerves which emerge from the spaces between the vertebrae, thus contributing to good general health. Yogamudrasana is used to awaken
manipura chakra."
